"user_id","age","year","week","all_activity_count","attestation_event_count","results_event_count","total_score","success_attempts","total_attempts","success_rate","avg_success_score","avg_score"
41984,15,2023.0,48.0,0,0,0,0,0,10,0.00,0,0
41984,15,2023.0,49.0,0,0,0,0,0,1,0.00,0,0
41984,15,2024.0,3.0,1,0,0,0,0,8,0.00,0,0
41984,15,2024.0,4.0,0,0,0,0,0,10,0.00,0,0
66742,18,2023.0,49.0,0,0,1,100,1,1,1.00,100,100
66742,18,2023.0,50.0,0,0,1,100,1,1,1.00,100,100
66742,18,2023.0,51.0,0,0,3,300,3,3,1.00,100,100
66742,18,2023.0,52.0,0,0,1,100,1,1,1.00,100,100
66742,18,2024.0,1.0,0,0,1,100,1,1,1.00,100,100
66742,18,2024.0,3.0,0,0,3,267,3,3,1.00,89,89
66742,18,2024.0,4.0,343,1,15,896,11,365,0.03,81,2
66742,18,2024.0,5.0,72,0,12,67,1,91,0.01,67,0
67786,17,2023.0,49.0,0,0,1,100,1,6,0.17,100,16
67786,17,2023.0,51.0,0,0,2,167,2,2,1.00,83,83
67786,17,2023.0,52.0,0,0,1,67,1,1,1.00,67,67
67786,17,2024.0,5.0,183,1,17,413,8,226,0.04,51,1
67989,17,2023.0,49.0,0,0,2,167,2,2,1.00,83,83
67989,17,2023.0,51.0,0,0,1,100,1,1,1.00,100,100
67989,17,2023.0,52.0,0,0,2,167,2,2,1.00,83,83
67989,17,2024.0,3.0,107,0,9,466,9,120,0.08,51,3
67989,17,2024.0,4.0,27,0,12,466,6,41,0.15,77,11
67989,17,2024.0,5.0,33,0,1,0,0,37,0.00,0,0
68078,20,2023.0,48.0,0,0,1,100,1,1,1.00,100,100
68078,20,2023.0,49.0,0,0,2,200,2,2,1.00,100,100
68078,20,2023.0,50.0,0,0,1,100,1,1,1.00,100,100
68078,20,2023.0,51.0,0,0,3,267,3,3,1.00,89,89
68078,20,2023.0,52.0,0,0,2,200,2,2,1.00,100,100
68078,20,2024.0,3.0,0,0,3,300,3,3,1.00,100,100
68078,20,2024.0,4.0,0,0,3,300,3,3,1.00,100,100
68078,20,2024.0,5.0,61,1,3,210,2,74,0.03,105,2
68122,16,2023.0,49.0,82,0,4,0,0,93,0.00,0,0
68122,16,2023.0,52.0,0,0,1,100,1,1,1.00,100,100
68122,16,2024.0,1.0,0,0,1,100,1,1,1.00,100,100
68122,16,2024.0,3.0,0,0,4,400,4,4,1.00,100,100
68122,16,2024.0,4.0,91,1,20,600,6,121,0.05,100,4
68122,16,2024.0,5.0,0,0,2,200,2,2,1.00,100,100
68143,18,2023.0,48.0,2,0,1,100,1,6,0.17,100,16
68143,18,2023.0,49.0,1,0,1,100,1,3,0.33,100,33
68143,18,2023.0,50.0,0,0,2,200,2,2,1.00,100,100
68143,18,2023.0,51.0,71,0,6,567,6,81,0.07,94,7
68143,18,2023.0,52.0,0,0,1,100,1,1,1.00,100,100
68143,18,2024.0,1.0,0,0,1,100,1,1,1.00,100,100
68143,18,2024.0,2.0,70,0,2,100,2,79,0.03,50,1
68143,18,2024.0,3.0,0,0,2,200,2,2,1.00,100,100
68143,18,2024.0,4.0,1,1,3,167,2,10,0.20,83,16
68143,18,2024.0,5.0,0,0,1,100,1,2,0.50,100,50
68354,18,2023.0,49.0,0,0,3,300,3,3,1.00,100,100
68354,18,2023.0,50.0,0,0,2,200,2,2,1.00,100,100
68354,18,2023.0,51.0,0,0,1,100,1,1,1.00,100,100
68354,18,2023.0,52.0,0,0,3,300,3,3,1.00,100,100
68354,18,2024.0,2.0,0,0,0,0,0,11,0.00,0,0
68354,18,2024.0,3.0,47,1,7,630,6,68,0.09,105,9
68354,18,2024.0,4.0,9,0,3,300,3,15,0.20,100,20
68354,18,2024.0,5.0,120,0,1,100,1,130,0.01,100,0
69591,18,2023.0,48.0,0,0,1,100,1,2,0.50,100,50
69591,18,2023.0,49.0,0,0,2,200,2,2,1.00,100,100
69591,18,2023.0,50.0,0,0,1,100,1,1,1.00,100,100
69591,18,2023.0,51.0,0,0,2,200,2,2,1.00,100,100
69591,18,2023.0,52.0,0,0,1,100,1,1,1.00,100,100
69591,18,2024.0,5.0,29,0,0,0,0,33,0.00,0,0
70555,18,2023.0,48.0,0,0,0,0,0,1,0.00,0,0
70555,18,2023.0,49.0,0,0,2,200,2,2,1.00,100,100
70555,18,2023.0,50.0,0,0,2,200,2,2,1.00,100,100
70555,18,2023.0,51.0,78,0,6,600,6,90,0.07,100,6
70555,18,2023.0,52.0,1,0,3,300,3,5,0.60,100,60
70555,18,2024.0,2.0,112,0,10,99,7,130,0.05,14,0
70555,18,2024.0,3.0,0,0,1,67,1,1,1.00,67,67
70555,18,2024.0,4.0,0,0,1,67,1,2,0.50,67,33
70813,17,2023.0,48.0,0,0,1,100,1,4,0.25,100,25
70813,17,2023.0,49.0,0,0,1,100,1,1,1.00,100,100
70813,17,2023.0,51.0,10,0,0,0,0,11,0.00,0,0
70813,17,2024.0,3.0,1,0,0,0,0,2,0.00,0,0
70813,17,2024.0,4.0,19,0,3,67,1,38,0.03,67,1
70813,17,2024.0,5.0,9,0,0,0,0,15,0.00,0,0
72194,18,2023.0,49.0,0,0,1,100,1,1,1.00,100,100
72194,18,2023.0,50.0,0,0,3,300,3,3,1.00,100,100
72194,18,2023.0,51.0,0,0,2,200,2,2,1.00,100,100
72194,18,2024.0,4.0,58,0,9,94,2,67,0.03,47,1
72194,18,2024.0,5.0,0,0,0,0,0,6,0.00,0,0
72511,18,2023.0,48.0,0,0,0,0,0,6,0.00,0,0
72511,18,2023.0,51.0,0,0,0,0,0,2,0.00,0,0
73653,18,2023.0,48.0,10,0,0,0,0,14,0.00,0,0
73653,18,2023.0,49.0,1,0,0,0,0,11,0.00,0,0
73653,18,2023.0,50.0,0,0,1,100,1,1,1.00,100,100
73653,18,2023.0,51.0,0,0,1,100,1,1,1.00,100,100
73653,18,2023.0,52.0,0,0,1,67,1,1,1.00,67,67
73653,18,2024.0,3.0,0,0,1,100,1,1,1.00,100,100
73653,18,2024.0,4.0,222,1,22,870,17,279,0.06,51,3
73653,18,2024.0,5.0,46,0,1,100,1,48,0.02,100,2
73818,17,2023.0,49.0,18,0,2,67,1,22,0.05,67,3
73818,17,2023.0,52.0,0,0,1,67,1,1,1.00,67,67
73818,17,2024.0,2.0,50,0,7,33,1,59,0.02,33,0
73818,17,2024.0,3.0,18,0,4,33,1,24,0.04,33,1
